id,yield
15289,4299.7901343643225
15290,6106.360385307414
15291,7244.248182660478
15292,4966.14068528203
15293,3682.2169232255437
15294,4961.190368803058
15295,7193.620038017025
15296,6442.390899608736
15297,8384.096530359615
15298,4209.003666364566
15299,5864.050472765963
15300,5886.695470271539
15301,5512.311133172163
15302,5657.176042085819
15303,5064.252851920146
15304,4869.993393496156
15305,4834.062152306991
15306,6322.825157293517
15307,5014.6162331711585
15308,5841.800680441831
15309,6184.854480315613
15310,7572.35537350003
15311,2967.2716869929477
15312,5152.424981803221
15313,6383.226041651244
15314,5104.197461347701
15315,4585.3504329660855
15316,7973.494740492458
15317,5634.272634833951
15318,7829.821209611238
15319,8141.412320007696
15320,6981.554884593943
15321,6603.232719107429
15322,2696.3732017231805
15323,5899.973586464032
15324,2621.6038799433863
15325,7139.073943928599
15326,6194.1797490826375
15327,4172.0495399467445
15328,7814.9005737867865
15329,7711.022966325667
15330,5154.463357087276
15331,5760.758441260448
15332,6874.2844228695585
15333,6378.143841445143
15334,5576.9852408406705
15335,8013.78080268497
15336,4156.173144017326
15337,7532.8732121073435
15338,6171.336112126598
15339,5520.695205600835
15340,6699.538260389253
15341,5706.3467452930345
15342,5327.050296030214
15343,6708.20722616618
15344,6059.783852979534
15345,4437.685951146777
15346,6100.84099379447
15347,6248.777377767519
15348,4727.72987411183
15349,6509.779886355887
15350,4635.397990645697
15351,6087.96766731885
15352,5849.850630685534
15353,6859.631536590055
15354,4323.929347130126
15355,4485.852252210091
15356,6057.667875101143
15357,6190.402881904396
15358,6978.803338859905
15359,4979.356408538906
15360,4464.449162197
15361,5646.3660200959175
15362,5987.38641270993
15363,6626.158634659849
15364,5113.473455377367
15365,4488.880202787315
15366,4753.617983216431
15367,7676.625783170712
15368,4929.892953051354
15369,5884.854372747497
15370,6424.26090352061
15371,3388.2388411706684
15372,4854.614583913862
15373,6191.075354990149
15374,5667.684699158862
15375,5476.145496641901
15376,5909.050656000019
15377,5660.274430840002
15378,4746.951264436768
15379,6031.723343500325
15380,7332.692609326839
15381,6116.294461664594
15382,5885.029553439399
15383,7332.443640084073
15384,5214.124898929713
15385,4267.96019471976
15386,4336.67101123206
15387,4377.379776353609
15388,6767.178114935217
15389,6111.468644990635
15390,8313.04257780209
15391,6386.617396773727
15392,7219.417707366224
15393,5851.126148724757
15394,6043.391959318289
15395,5556.6631718289755
15396,6898.547409329576
15397,6854.039587489094
15398,5631.2926499683435
15399,5573.471325239194
15400,4833.680561794723
15401,6160.6966070539365
15402,6178.20659456443
15403,6108.00615517994
15404,7183.4683169909595
15405,7500.941140978111
15406,8196.5078566134
15407,5718.2259908853175
15408,7615.911082987273
15409,5864.183290258285
15410,5866.634801797323
15411,8275.478362159774
15412,6656.104722086557
15413,6755.578232767763
15414,5657.671115526791
15415,5946.6384212516805
15416,6925.636309001607
15417,5776.248420383744
15418,7569.496345345188
15419,4390.873749003744
15420,4165.544189826766
15421,6298.006566061564
15422,3708.756782897826
15423,6648.955022202737
15424,6406.239410404216
15425,6936.456298523264
15426,3816.5548414025643
15427,7580.6093946239835
15428,6369.489905577176
15429,7364.215394276616
15430,6496.922174539005
15431,5279.821636232177
15432,5203.375052315683
15433,4714.151471544372
15434,8367.207899029474
15435,4036.0760698143617
15436,4709.714851673554
15437,5011.304690025953
15438,5498.397208015259
15439,7373.955094658119
